Pathway_ID,Sig_Count,Bg_Count,P_Value,Fold_Enrichment,Odds_Ratio,Pathway_Name,FDR,Bonferroni
PWY-7526,1,1,0.6666666666666666,inf,inf,PWY-7526,0.7061923583662714,1.0
PWY-8345,1,1,0.6666666666666666,inf,inf,PWY-8345,0.7061923583662714,1.0
OCTOPINEDEG-PWY,1,1,0.6666666666666666,inf,inf,OCTOPINEDEG-PWY,0.7061923583662714,1.0
PWY-6834,1,1,0.6666666666666666,inf,inf,PWY-6834,0.7061923583662714,1.0
Ethylene-Biosynthesis,1,1,0.6666666666666666,inf,inf,Ethylene-Biosynthesis,0.7061923583662714,1.0
PWY-6853,1,1,0.6666666666666666,inf,inf,PWY-6853,0.7061923583662714,1.0
ARGDEGRAD-PWY,1,1,0.6666666666666666,inf,inf,ARGDEGRAD-PWY,0.7061923583662714,1.0
CITRULLINE-DEG-PWY,1,1,0.6666666666666666,inf,inf,CITRULLINE-DEG-PWY,0.7061923583662714,1.0
PWY-6344,1,1,0.6666666666666666,inf,inf,PWY-6344,0.7061923583662714,1.0
Stickland-Oxidative,1,1,0.6666666666666666,inf,inf,Stickland-Oxidative,0.7061923583662714,1.0
PWY-8187,1,1,0.6666666666666666,inf,inf,PWY-8187,0.7061923583662714,1.0
PWY-8498,1,1,0.6666666666666666,inf,inf,PWY-8498,0.7061923583662714,1.0
PWY-8496,1,1,0.6666666666666666,inf,inf,PWY-8496,0.7061923583662714,1.0
PWY-8492,1,1,0.6666666666666666,inf,inf,PWY-8492,0.7061923583662714,1.0
PWY-6511,1,1,0.6666666666666666,inf,inf,PWY-6511,0.7061923583662714,1.0
PWY-5024,1,1,0.6666666666666666,inf,inf,PWY-5024,0.7061923583662714,1.0
ARGININE-DEG,1,1,0.6666666666666666,inf,inf,ARGININE-DEG,0.7061923583662714,1.0
PWY-7126,1,1,0.6666666666666666,inf,inf,PWY-7126,0.7061923583662714,1.0
Spermidine-Biosynthesis,1,1,0.6666666666666666,inf,inf,Spermidine-Biosynthesis,0.7061923583662714,1.0
N-CONTAINING-SECONDARY-CMPD-DEG,1,1,0.6666666666666666,inf,inf,N-CONTAINING-SECONDARY-CMPD-DEG,0.7061923583662714,1.0
NOPALINEDEG-PWY,1,1,0.6666666666666666,inf,inf,NOPALINEDEG-PWY,0.7061923583662714,1.0
PWY-8450,1,1,0.6666666666666666,inf,inf,PWY-8450,0.7061923583662714,1.0
PWY-7351,1,1,0.6666666666666666,inf,inf,PWY-7351,0.7061923583662714,1.0
Pyruvate-Degradation,1,1,0.6666666666666666,inf,inf,Pyruvate-Degradation,0.7061923583662714,1.0
SHIKIMATEDEG-PWY,1,1,0.6666666666666666,inf,inf,SHIKIMATEDEG-PWY,0.7061923583662714,1.0
PWY-5081,1,1,0.6666666666666666,inf,inf,PWY-5081,0.7061923583662714,1.0
PWY-3161,1,1,0.6666666666666666,inf,inf,PWY-3161,0.7061923583662714,1.0
PWY-6493,1,1,0.6666666666666666,inf,inf,PWY-6493,0.7061923583662714,1.0
PWY-6503,1,1,0.6666666666666666,inf,inf,PWY-6503,0.7061923583662714,1.0
PWY-6495,1,1,0.6666666666666666,inf,inf,PWY-6495,0.7061923583662714,1.0
PWY-5427,1,1,0.6666666666666666,inf,inf,PWY-5427,0.7061923583662714,1.0
PWY-5110,1,1,0.6666666666666666,inf,inf,PWY-5110,0.7061923583662714,1.0
PYRROLIDINE-ALKALOIDS,1,1,0.6666666666666666,inf,inf,PYRROLIDINE-ALKALOIDS,0.7061923583662714,1.0
PWY-7668,1,1,0.6666666666666666,inf,inf,PWY-7668,0.7061923583662714,1.0
PWY-7612,1,1,0.6666666666666666,inf,inf,PWY-7612,0.7061923583662714,1.0
PWY-7605,1,1,0.6666666666666666,inf,inf,PWY-7605,0.7061923583662714,1.0
PWY-7609,1,1,0.6666666666666666,inf,inf,PWY-7609,0.7061923583662714,1.0
PWY-7608,1,1,0.6666666666666666,inf,inf,PWY-7608,0.7061923583662714,1.0
PWY-7607,1,1,0.6666666666666666,inf,inf,PWY-7607,0.7061923583662714,1.0
PWY-7549,1,1,0.6666666666666666,inf,inf,PWY-7549,0.7061923583662714,1.0
PWY-7543,1,1,0.6666666666666666,inf,inf,PWY-7543,0.7061923583662714,1.0
PWY-7542,1,1,0.6666666666666666,inf,inf,PWY-7542,0.7061923583662714,1.0
PWY-7040,1,1,0.6666666666666666,inf,inf,PWY-7040,0.7061923583662714,1.0
PWY-6346,1,1,0.6666666666666666,inf,inf,PWY-6346,0.7061923583662714,1.0
PWY-5467,1,1,0.6666666666666666,inf,inf,PWY-5467,0.7061923583662714,1.0
TRYPDEG-PWY,1,1,0.6666666666666666,inf,inf,TRYPDEG-PWY,0.7061923583662714,1.0
PWY-7708,1,1,0.6666666666666666,inf,inf,PWY-7708,0.7061923583662714,1.0
PWY-7667,1,1,0.6666666666666666,inf,inf,PWY-7667,0.7061923583662714,1.0
CYCLOPEPTIDES,1,1,0.6666666666666666,inf,inf,CYCLOPEPTIDES,0.7061923583662714,1.0
PWY-6628,1,1,0.6666666666666666,inf,inf,PWY-6628,0.7061923583662714,1.0
PWY-7734,1,1,0.6666666666666666,inf,inf,PWY-7734,0.7061923583662714,1.0
PWY-8483,1,1,0.6666666666666666,inf,inf,PWY-8483,0.7061923583662714,1.0
PWY-7957,1,1,0.6666666666666666,inf,inf,PWY-7957,0.7061923583662714,1.0
PWY-7959,1,1,0.6666666666666666,inf,inf,PWY-7959,0.7061923583662714,1.0
PWY-7958,1,1,0.6666666666666666,inf,inf,PWY-7958,0.7061923583662714,1.0
PWY-7956,1,1,0.6666666666666666,inf,inf,PWY-7956,0.7061923583662714,1.0
PWY-8587,1,1,0.6666666666666666,inf,inf,PWY-8587,0.7061923583662714,1.0
PWY-6345,1,1,0.6666666666666666,inf,inf,PWY-6345,0.7061923583662714,1.0
PWY2PN3-13,1,1,0.6666666666666666,inf,inf,PWY2PN3-13,0.7061923583662714,1.0
Storage-Compounds-Biosynthesis,1,1,0.6666666666666666,inf,inf,Storage-Compounds-Biosynthesis,0.7061923583662714,1.0
PWY-4981,1,1,0.6666666666666666,inf,inf,PWY-4981,0.7061923583662714,1.0
PROLINE-SYN,1,1,0.6666666666666666,inf,inf,PROLINE-SYN,0.7061923583662714,1.0
PWY-8298,1,1,0.6666666666666666,inf,inf,PWY-8298,0.7061923583662714,1.0
PWY2PN3-14,1,1,0.6666666666666666,inf,inf,PWY2PN3-14,0.7061923583662714,1.0
PWY-2904,1,1,0.6666666666666666,inf,inf,PWY-2904,0.7061923583662714,1.0
PWY3O-4106,1,1,0.6666666666666666,inf,inf,PWY3O-4106,0.7061923583662714,1.0
PWY3O-4107,1,1,0.6666666666666666,inf,inf,PWY3O-4107,0.7061923583662714,1.0
PWY-6309,1,1,0.6666666666666666,inf,inf,PWY-6309,0.7061923583662714,1.0
ARGSYNBSUB-PWY,1,1,0.6666666666666666,inf,inf,ARGSYNBSUB-PWY,0.7061923583662714,1.0
ARGININE-SYN,1,1,0.6666666666666666,inf,inf,ARGININE-SYN,0.7061923583662714,1.0
PWY-7400,1,1,0.6666666666666666,inf,inf,PWY-7400,0.7061923583662714,1.0
ARGSYN-PWY,1,1,0.6666666666666666,inf,inf,ARGSYN-PWY,0.7061923583662714,1.0
GLUTORN-PWY,1,1,0.6666666666666666,inf,inf,GLUTORN-PWY,0.7061923583662714,1.0
PWY-5154,1,1,0.6666666666666666,inf,inf,PWY-5154,0.7061923583662714,1.0
PWY-8451,1,1,0.6666666666666666,inf,inf,PWY-8451,0.7061923583662714,1.0
Opine-Biosynthesis,1,1,0.6666666666666666,inf,inf,Opine-Biosynthesis,0.7061923583662714,1.0
PWY-2002,1,1,0.6666666666666666,inf,inf,PWY-2002,0.7061923583662714,1.0
PWY-6427,1,1,0.6666666666666666,inf,inf,PWY-6427,0.7061923583662714,1.0
Rotenoids-Biosynthesis,1,1,0.6666666666666666,inf,inf,Rotenoids-Biosynthesis,0.7061923583662714,1.0
PWY-3502,1,1,0.6666666666666666,inf,inf,PWY-3502,0.7061923583662714,1.0
PWY-5717,1,1,0.6666666666666666,inf,inf,PWY-5717,0.7061923583662714,1.0
QUINONE-SYN,1,1,0.6666666666666666,inf,inf,QUINONE-SYN,0.7061923583662714,1.0
Icosanoid-Metabolism,1,1,0.6666666666666666,inf,inf,Icosanoid-Metabolism,0.7061923583662714,1.0
PWY-8445,1,1,0.6666666666666666,inf,inf,PWY-8445,0.7061923583662714,1.0
PWY-6332,1,1,0.6666666666666666,inf,inf,PWY-6332,0.7061923583662714,1.0
Other-biosynthesis,1,1,0.6666666666666666,inf,inf,Other-biosynthesis,0.7061923583662714,1.0
PWY-7987,1,1,0.6666666666666666,inf,inf,PWY-7987,0.7061923583662714,1.0
PWY-7860,1,1,0.6666666666666666,inf,inf,PWY-7860,0.7061923583662714,1.0
Nitric-Oxide-Biosynthesis,1,1,0.6666666666666666,inf,inf,Nitric-Oxide-Biosynthesis,0.7061923583662714,1.0
Siderophores-Biosynthesis,1,1,0.6666666666666666,inf,inf,Siderophores-Biosynthesis,0.7061923583662714,1.0
PWY-8506,1,1,0.6666666666666666,inf,inf,PWY-8506,0.7061923583662714,1.0
PWY-8045,1,1,0.6666666666666666,inf,inf,PWY-8045,0.7061923583662714,1.0
S-CONTAINING-SECONDARY-CMPD-SYN,1,1,0.6666666666666666,inf,inf,S-CONTAINING-SECONDARY-CMPD-SYN,0.7061923583662714,1.0
4-HYDROXYMANDELATE-DEGRADATION-PWY,1,1,0.6666666666666666,inf,inf,4-HYDROXYMANDELATE-DEGRADATION-PWY,0.7061923583662714,1.0
PWY-2504,1,1,0.6666666666666666,inf,inf,PWY-2504,0.7061923583662714,1.0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,1,1,0.6666666666666666,inf,inf,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0.7061923583662714,1.0
PWY-2361,1,1,0.6666666666666666,inf,inf,PWY-2361,0.7061923583662714,1.0
CATECHOL-ORTHO-CLEAVAGE-PWY,1,1,0.6666666666666666,inf,inf,CATECHOL-ORTHO-CLEAVAGE-PWY,0.7061923583662714,1.0
PWY-6324,1,1,0.6666666666666666,inf,inf,PWY-6324,0.7061923583662714,1.0
PWY-6831,1,1,0.6666666666666666,inf,inf,PWY-6831,0.7061923583662714,1.0
PWY-7520,1,1,0.6666666666666666,inf,inf,PWY-7520,0.7061923583662714,1.0
PWY-8529,1,1,0.6666666666666666,inf,inf,PWY-8529,0.7061923583662714,1.0
PWY-6183,1,1,0.6666666666666666,inf,inf,PWY-6183,0.7061923583662714,1.0
TOLUENE-DEG-DIOL-PWY,1,1,0.6666666666666666,inf,inf,TOLUENE-DEG-DIOL-PWY,0.7061923583662714,1.0
PWY-6336,1,1,0.6666666666666666,inf,inf,PWY-6336,0.7061923583662714,1.0
P183-PWY,1,1,0.6666666666666666,inf,inf,P183-PWY,0.7061923583662714,1.0
PWY-6079,1,1,0.6666666666666666,inf,inf,PWY-6079,0.7061923583662714,1.0
TRPKYNCAT-PWY,1,1,0.6666666666666666,inf,inf,TRPKYNCAT-PWY,0.7061923583662714,1.0
QUINATEDEG-PWY,1,1,0.6666666666666666,inf,inf,QUINATEDEG-PWY,0.7061923583662714,1.0
PWY-6504,1,1,0.6666666666666666,inf,inf,PWY-6504,0.7061923583662714,1.0
PWY-7717,1,1,0.6666666666666666,inf,inf,PWY-7717,0.7061923583662714,1.0
TRPCAT-PWY,1,1,0.6666666666666666,inf,inf,TRPCAT-PWY,0.7061923583662714,1.0
PWY-6505,1,1,0.6666666666666666,inf,inf,PWY-6505,0.7061923583662714,1.0
PWY-6954,1,1,0.6666666666666666,inf,inf,PWY-6954,0.7061923583662714,1.0
AROMATIC-COMPOUNDS-DEGRADATION,1,1,0.6666666666666666,inf,inf,AROMATIC-COMPOUNDS-DEGRADATION,0.7061923583662714,1.0
PWY-1501,1,1,0.6666666666666666,inf,inf,PWY-1501,0.7061923583662714,1.0
PWY-2503,1,1,0.6666666666666666,inf,inf,PWY-2503,0.7061923583662714,1.0
PWY-5654,1,1,0.6666666666666666,inf,inf,PWY-5654,0.7061923583662714,1.0
TRYPTOPHAN-DEGRADATION-1,1,1,0.6666666666666666,inf,inf,TRYPTOPHAN-DEGRADATION-1,0.7061923583662714,1.0
PWY-5177,1,1,0.6666666666666666,inf,inf,PWY-5177,0.7061923583662714,1.0
PWY-5652,1,1,0.6666666666666666,inf,inf,PWY-5652,0.7061923583662714,1.0
BSUBPOLYAMSYN-PWY,1,1,0.6666666666666666,inf,inf,BSUBPOLYAMSYN-PWY,0.7061923583662714,1.0
PWY-7523,1,1,0.6666666666666666,inf,inf,PWY-7523,0.7061923583662714,1.0
PWY-7570,1,1,0.6666666666666666,inf,inf,PWY-7570,0.7061923583662714,1.0
PWY-7600,1,1,0.6666666666666666,inf,inf,PWY-7600,0.7061923583662714,1.0
PWY-5679,1,1,0.6666666666666666,inf,inf,PWY-5679,0.7061923583662714,1.0
TROPANE-ALKALOIDS,1,1,0.6666666666666666,inf,inf,TROPANE-ALKALOIDS,0.7061923583662714,1.0
PWY-7341,1,1,0.6666666666666666,inf,inf,PWY-7341,0.7061923583662714,1.0
PWY0-1601,1,1,0.6666666666666666,inf,inf,PWY0-1601,0.7061923583662714,1.0
PWY0-1303,1,1,0.6666666666666666,inf,inf,PWY0-1303,0.7061923583662714,1.0
PWY-7510,1,1,0.6666666666666666,inf,inf,PWY-7510,0.7061923583662714,1.0
POLYAMSYN-PWY,1,1,0.6666666666666666,inf,inf,POLYAMSYN-PWY,0.7061923583662714,1.0
Polyamine-Biosynthesis,1,1,0.6666666666666666,inf,inf,Polyamine-Biosynthesis,0.7061923583662714,1.0
ARG+POLYAMINE-SYN,1,1,0.6666666666666666,inf,inf,ARG+POLYAMINE-SYN,0.7061923583662714,1.0
Citrulline-Biosynthesis,1,1,0.6666666666666666,inf,inf,Citrulline-Biosynthesis,0.7061923583662714,1.0
CITRULBIO-PWY,1,1,0.6666666666666666,inf,inf,CITRULBIO-PWY,0.7061923583662714,1.0
PWY-7693,1,1,0.6666666666666666,inf,inf,PWY-7693,0.7061923583662714,1.0
PWY-6922,1,1,0.6666666666666666,inf,inf,PWY-6922,0.7061923583662714,1.0
Beta-Lactam-Antibiotics-BioSynthesis,1,1,0.6666666666666666,inf,inf,Beta-Lactam-Antibiotics-BioSynthesis,0.7061923583662714,1.0
COMPLETE-ARO-PWY,1,1,0.6666666666666666,inf,inf,COMPLETE-ARO-PWY,0.7061923583662714,1.0
Auxin-Biosynthesis,1,1,0.6666666666666666,inf,inf,Auxin-Biosynthesis,0.7061923583662714,1.0
TRPIAACAT-PWY,1,1,0.6666666666666666,inf,inf,TRPIAACAT-PWY,0.7061923583662714,1.0
AROMATIC-COMPOUNDS-BIOSYN,1,1,0.6666666666666666,inf,inf,AROMATIC-COMPOUNDS-BIOSYN,0.7061923583662714,1.0
PWY-8585,1,1,0.6666666666666666,inf,inf,PWY-8585,0.7061923583662714,1.0
UBISYN-PWY,1,1,0.6666666666666666,inf,inf,UBISYN-PWY,0.7061923583662714,1.0
ENTBACSYN-PWY,1,1,0.6666666666666666,inf,inf,ENTBACSYN-PWY,0.7061923583662714,1.0
PWY-5837,1,1,0.6666666666666666,inf,inf,PWY-5837,0.7061923583662714,1.0
L-Ornithine-Biosynthesis,1,1,0.6666666666666666,inf,inf,L-Ornithine-Biosynthesis,0.7061923583662714,1.0
PWY-7797,1,1,0.6666666666666666,inf,inf,PWY-7797,0.7061923583662714,1.0
ARGDEG-IV-PWY,1,1,0.6666666666666666,inf,inf,ARGDEG-IV-PWY,0.7061923583662714,1.0
AST-PWY,1,1,0.6666666666666666,inf,inf,AST-PWY,0.7061923583662714,1.0
D-Amino-Acid-Degradation,1,1,0.6666666666666666,inf,inf,D-Amino-Acid-Degradation,0.7061923583662714,1.0
PWY-6422,1,1,0.6666666666666666,inf,inf,PWY-6422,0.7061923583662714,1.0
PWY-46,1,1,0.6666666666666666,inf,inf,PWY-46,0.7061923583662714,1.0
PWY-7274,1,1,0.6666666666666666,inf,inf,PWY-7274,0.7061923583662714,1.0
PWY-6409,1,1,0.6666666666666666,inf,inf,PWY-6409,0.7061923583662714,1.0
GLYCGREAT-PWY,1,1,0.6666666666666666,inf,inf,GLYCGREAT-PWY,0.7061923583662714,1.0
GLYCINE-DEG,1,1,0.6666666666666666,inf,inf,GLYCINE-DEG,0.7061923583662714,1.0
PUTDEG-PWY,1,1,0.6666666666666666,inf,inf,PUTDEG-PWY,0.7061923583662714,1.0
4AMINOBUTMETAB-PWY,1,1,0.6666666666666666,inf,inf,4AMINOBUTMETAB-PWY,0.7061923583662714,1.0
PWY0-1221,1,1,0.6666666666666666,inf,inf,PWY0-1221,0.7061923583662714,1.0
ORNARGDEG-PWY,1,1,0.6666666666666666,inf,inf,ORNARGDEG-PWY,0.7061923583662714,1.0
ORNDEG-PWY,1,1,0.6666666666666666,inf,inf,ORNDEG-PWY,0.7061923583662714,1.0
PWY-8532,1,1,0.6666666666666666,inf,inf,PWY-8532,0.7061923583662714,1.0
ARGDEG-V-PWY,1,1,0.6666666666666666,inf,inf,ARGDEG-V-PWY,0.7061923583662714,1.0
POLYAMINSYN3-PWY,1,1,0.6666666666666666,inf,inf,POLYAMINSYN3-PWY,0.7061923583662714,1.0
PWY-43,1,1,0.6666666666666666,inf,inf,PWY-43,0.7061923583662714,1.0
PWY-6305,1,1,0.6666666666666666,inf,inf,PWY-6305,0.7061923583662714,1.0
PWY-5315,1,1,0.6666666666666666,inf,inf,PWY-5315,0.7061923583662714,1.0
PWY-5317,1,1,0.6666666666666666,inf,inf,PWY-5317,0.7061923583662714,1.0
ARGDEG-PWY,1,1,0.6666666666666666,inf,inf,ARGDEG-PWY,0.7061923583662714,1.0
Putrescine-Biosynthesis,1,1,0.6666666666666666,inf,inf,Putrescine-Biosynthesis,0.7061923583662714,1.0
PWY0-823,1,1,0.6666666666666666,inf,inf,PWY0-823,0.7061923583662714,1.0
ARGDEG-III-PWY,1,1,0.6666666666666666,inf,inf,ARGDEG-III-PWY,0.7061923583662714,1.0
PWY-40,1,1,0.6666666666666666,inf,inf,PWY-40,0.7061923583662714,1.0
PWY0-1299,1,1,0.6666666666666666,inf,inf,PWY0-1299,0.7061923583662714,1.0
Acid-Resistance,1,1,0.6666666666666666,inf,inf,Acid-Resistance,0.7061923583662714,1.0
Interconversion,2,3,0.7738095238095238,1.0,1.0,Interconversion,0.8132586367880486,1.0
Metabolic-Clusters,2,3,0.7738095238095238,1.0,1.0,Metabolic-Clusters,0.8132586367880486,1.0
PWY-2761,1,2,0.9166666666666666,0.7,0.4,PWY-2761,0.9376590330788803,1.0
PWY-2055,1,2,0.9166666666666666,0.7,0.4,PWY-2055,0.9376590330788803,1.0
FLAVONOID-DEG,1,2,0.9166666666666666,0.7,0.4,FLAVONOID-DEG,0.9376590330788803,1.0
PWY-6996,1,2,0.9166666666666666,0.7,0.4,PWY-6996,0.9376590330788803,1.0
PWY-2343,1,2,0.9166666666666666,0.7,0.4,PWY-2343,0.9376590330788803,1.0
PWY-2762,1,2,0.9166666666666666,0.7,0.4,PWY-2762,0.9376590330788803,1.0
PWY-3042,1,2,0.9166666666666666,0.7,0.4,PWY-3042,0.9376590330788803,1.0
ISOFLAVONOID-SYN,2,4,0.9523809523809524,0.625,0.25,ISOFLAVONOID-SYN,0.9668109668109668,1.0
ISOFLAVONOID-PHYTOALEXINS,2,4,0.9523809523809524,0.625,0.25,ISOFLAVONOID-PHYTOALEXINS,0.9668109668109668,1.0
PWY-7615,0,1,1.0,0.0,0.0,PWY-7615,1.0,1.0
