tf_idx,string_id,uniprot_id,name
37,3847.A0A0R0EK74,A0A0R0EK74,A0A0R0EK74
38,3847.A0A0R0ELN4,A0A0R0ELN4,A0A0R0ELN4
39,3847.A0A0R0EME4,A0A0R0EME4,A0A0R0EME4
40,3847.A0A0R0EQI8,A0A0R0EQI8,A0A0R0EQI8
41,3847.A0A0R0EQQ2,A0A0R0EQQ2,A0A0R0EQQ2
42,3847.A0A0R0EQU1,A0A0R0EQU1,A0A0R0EQU1
43,3847.A0A0R0ERD0,A0A0R0ERD0,WRKY8
44,3847.A0A0R0ESF6,A0A0R0ESF6,A0A0R0ESF6
45,3847.A0A0R0ESS5,A0A0R0ESS5,A0A0R0ESS5
46,3847.A0A0R0ETB5,A0A0R0ETB5,A0A0R0ETB5
47,3847.A0A0R0ETE0,A0A0R0ETE0,LCL3
48,3847.A0A0R0EV79,A0A0R0EV79,A0A0R0EV79
49,3847.A0A0R0EVN8,A0A0R0EVN8,A0A0R0EVN8
50,3847.A0A0R0EWC1,A0A0R0EWC1,A0A0R0EWC1
51,3847.A0A0R0EWD3,A0A0R0EWD3,A0A0R0EWD3
52,3847.A0A0R0EX69,A0A0R0EX69,A0A0R0EX69
53,3847.A0A0R0EXG8,A0A0R0EXG8,A0A0R0EXG8
54,3847.A0A0R0EYJ1,A0A0R0EYJ1,A0A0R0EYJ1
55,3847.A0A0R0EYV9,A0A0R0EYV9,A0A0R0EYV9
56,3847.A0A0R0EZ65,A0A0R0EZ65,A0A0R0EZ65
57,3847.A0A0R0EZH3,A0A0R0EZH3,A0A0R0EZH3
58,3847.A0A0R0F002,A0A0R0F002,A0A0R0F002
59,3847.A0A0R0F0E1,A0A0R0F0E1,A0A0R0F0E1
60,3847.A0A0R0F0H4,A0A0R0F0H4,A0A0R0F0H4
61,3847.A0A0R0F0K0,A0A0R0F0K0,A0A0R0F0K0
62,3847.A0A0R0F161,A0A0R0F161,A0A0R0F161
63,3847.A0A0R0F195,A0A0R0F195,A0A0R0F195
64,3847.A0A0R0F1I6,A0A0R0F1I6,A0A0R0F1I6
65,3847.A0A0R0F1M3,A0A0R0F1M3,A0A0R0F1M3
66,3847.A0A0R0F1M4,A0A0R0F1M4,A0A0R0F1M4
67,3847.A0A0R0F2E8,A0A0R0F2E8,A0A0R0F2E8
68,3847.A0A0R0F2G7,A0A0R0F2G7,A0A0R0F2G7
69,3847.A0A0R0F2U2,A0A0R0F2U2,A0A0R0F2U2
70,3847.A0A0R0F327,A0A0R0F327,A0A0R0F327
71,3847.A0A0R0F3M4,A0A0R0F3M4,A0A0R0F3M4
72,3847.A0A0R0F3N4,A0A0R0F3N4,A0A0R0F3N4
73,3847.A0A0R0F423,A0A0R0F423,GMPHR33
74,3847.A0A0R0F4I8,A0A0R0F4I8,A0A0R0F4I8
75,3847.A0A0R0F4Z2,A0A0R0F4Z2,A0A0R0F4Z2
76,3847.A0A0R0F536,A0A0R0F536,A0A0R0F536
77,3847.A0A0R0F8B5,A0A0R0F8B5,A0A0R0F8B5
78,3847.A0A0R0F8P9,A0A0R0F8P9,A0A0R0F8P9
79,3847.A0A0R0F904,A0A0R0F904,A0A0R0F904
80,3847.A0A0R0F950,A0A0R0F950,A0A0R0F950
81,3847.A0A0R0F9T9,A0A0R0F9T9,A0A0R0F9T9
82,3847.A0A0R0FB30,A0A0R0FB30,A0A0R0FB30
83,3847.A0A0R0FBU8,A0A0R0FBU8,A0A0R0FBU8
84,3847.A0A0R0FBW6,A0A0R0FBW6,A0A0R0FBW6
85,3847.A0A0R0FCR4,A0A0R0FCR4,A0A0R0FCR4
86,3847.A0A0R0FCX9,A0A0R0FCX9,A0A0R0FCX9
87,3847.A0A0R0FD34,A0A0R0FD34,A0A0R0FD34
88,3847.A0A0R0FEJ5,A0A0R0FEJ5,A0A0R0FEJ5
89,3847.A0A0R0FEL0,A0A0R0FEL0,A0A0R0FEL0
90,3847.A0A0R0FFC5,A0A0R0FFC5,A0A0R0FFC5
91,3847.A0A0R0FFK3,A0A0R0FFK3,A0A0R0FFK3
92,3847.A0A0R0FFQ5,A0A0R0FFQ5,A0A0R0FFQ5
93,3847.A0A0R0FFZ5,A0A0R0FFZ5,A0A0R0FFZ5
94,3847.A0A0R0FG14,A0A0R0FG14,A0A0R0FG14
95,3847.A0A0R0FGI1,A0A0R0FGI1,A0A0R0FGI1
96,3847.A0A0R0FHI5,A0A0R0FHI5,A0A0R0FHI5
97,3847.A0A0R0FHK7,A0A0R0FHK7,A0A0R0FHK7
98,3847.A0A0R0FIC8,A0A0R0FIC8,A0A0R0FIC8
99,3847.A0A0R0FII7,A0A0R0FII7,A0A0R0FII7
100,3847.A0A0R0FJ06,A0A0R0FJ06,A0A0R0FJ06
101,3847.A0A0R0FJM9,A0A0R0FJM9,A0A0R0FJM9
102,3847.A0A0R0FJQ7,A0A0R0FJQ7,EREB
103,3847.A0A0R0FKB4,A0A0R0FKB4,A0A0R0FKB4
104,3847.A0A0R0FLB4,A0A0R0FLB4,A0A0R0FLB4
105,3847.A0A0R0FM21,A0A0R0FM21,A0A0R0FM21
106,3847.A0A0R0FME7,A0A0R0FME7,A0A0R0FME7
107,3847.A0A0R0FMF6,A0A0R0FMF6,A0A0R0FMF6
108,3847.A0A0R0FMP8,A0A0R0FMP8,A0A0R0FMP8
109,3847.A0A0R0FMS0,A0A0R0FMS0,A0A0R0FMS0
110,3847.A0A0R0FNQ0,A0A0R0FNQ0,A0A0R0FNQ0
111,3847.A0A0R0FNY5,A0A0R0FNY5,A0A0R0FNY5
112,3847.A0A0R0FP22,A0A0R0FP22,A0A0R0FP22
113,3847.A0A0R0FPN7,A0A0R0FPN7,A0A0R0FPN7
114,3847.A0A0R0FPY2,A0A0R0FPY2,A0A0R0FPY2
115,3847.A0A0R0FQ01,A0A0R0FQ01,A0A0R0FQ01
116,3847.A0A0R0FQ07,A0A0R0FQ07,A0A0R0FQ07
117,3847.A0A0R0FQ41,A0A0R0FQ41,A0A0R0FQ41
118,3847.A0A0R0FQM2,A0A0R0FQM2,A0A0R0FQM2
119,3847.A0A0R0FQW3,A0A0R0FQW3,A0A0R0FQW3
120,3847.A0A0R0FQW7,A0A0R0FQW7,ICEE
121,3847.A0A0R0FSD4,A0A0R0FSD4,A0A0R0FSD4
122,3847.A0A0R0FU29,A0A0R0FU29,A0A0R0FU29
123,3847.A0A0R0FUP5,A0A0R0FUP5,A0A0R0FUP5
124,3847.A0A0R0FVF1,A0A0R0FVF1,A0A0R0FVF1
125,3847.A0A0R0FWM6,A0A0R0FWM6,A0A0R0FWM6
126,3847.A0A0R0FXR9,A0A0R0FXR9,A0A0R0FXR9
127,3847.A0A0R0FYN5,A0A0R0FYN5,A0A0R0FYN5
128,3847.A0A0R0FZ58,A0A0R0FZ58,A0A0R0FZ58
129,3847.A0A0R0FZB3,A0A0R0FZB3,A0A0R0FZB3
130,3847.A0A0R0FZD6,A0A0R0FZD6,A0A0R0FZD6
131,3847.A0A0R0G147,A0A0R0G147,A0A0R0G147
132,3847.A0A0R0G1R0,A0A0R0G1R0,A0A0R0G1R0
133,3847.A0A0R0G271,A0A0R0G271,A0A0R0G271
134,3847.A0A0R0G2G7,A0A0R0G2G7,A0A0R0G2G7
135,3847.A0A0R0G2K1,A0A0R0G2K1,A0A0R0G2K1
136,3847.A0A0R0G388,A0A0R0G388,A0A0R0G388
137,3847.A0A0R0G3E0,A0A0R0G3E0,A0A0R0G3E0
138,3847.A0A0R0G4A6,A0A0R0G4A6,A0A0R0G4A6
139,3847.A0A0R0G4Q5,A0A0R0G4Q5,A0A0R0G4Q5
140,3847.A0A0R0G507,A0A0R0G507,A0A0R0G507
141,3847.A0A0R0G5W5,A0A0R0G5W5,A0A0R0G5W5
142,3847.A0A0R0G5X7,A0A0R0G5X7,A0A0R0G5X7
143,3847.A0A0R0G607,A0A0R0G607,A0A0R0G607
144,3847.A0A0R0G608,A0A0R0G608,A0A0R0G608
145,3847.A0A0R0G6I0,A0A0R0G6I0,A0A0R0G6I0
146,3847.A0A0R0G6P4,A0A0R0G6P4,A0A0R0G6P4
147,3847.A0A0R0G755,A0A0R0G755,A0A0R0G755
148,3847.A0A0R0G7Q1,A0A0R0G7Q1,A0A0R0G7Q1
149,3847.A0A0R0G9L0,A0A0R0G9L0,A0A0R0G9L0
150,3847.A0A0R0G9U3,A0A0R0G9U3,GMDREB2A2
151,3847.A0A0R0GAC1,A0A0R0GAC1,A0A0R0GAC1
152,3847.A0A0R0GBH3,A0A0R0GBH3,A0A0R0GBH3
153,3847.A0A0R0GBI9,A0A0R0GBI9,A0A0R0GBI9
154,3847.A0A0R0GBL1,A0A0R0GBL1,A0A0R0GBL1
155,3847.A0A0R0GBL5,A0A0R0GBL5,A0A0R0GBL5
156,3847.A0A0R0GBZ6,A0A0R0GBZ6,A0A0R0GBZ6
157,3847.A0A0R0GCB6,A0A0R0GCB6,A0A0R0GCB6
158,3847.A0A0R0GCH6,A0A0R0GCH6,A0A0R0GCH6
159,3847.A0A0R0GCN8,A0A0R0GCN8,A0A0R0GCN8
160,3847.A0A0R0GCR6,A0A0R0GCR6,A0A0R0GCR6
161,3847.A0A0R0GDC9,A0A0R0GDC9,A0A0R0GDC9
162,3847.A0A0R0GDV7,A0A0R0GDV7,A0A0R0GDV7
163,3847.A0A0R0GDY6,A0A0R0GDY6,A0A0R0GDY6
164,3847.A0A0R0GE20,A0A0R0GE20,A0A0R0GE20
165,3847.A0A0R0GEU9,A0A0R0GEU9,A0A0R0GEU9
166,3847.A0A0R0GFD5,A0A0R0GFD5,A0A0R0GFD5
167,3847.A0A0R0GFL0,A0A0R0GFL0,A0A0R0GFL0
168,3847.A0A0R0GG54,A0A0R0GG54,A0A0R0GG54
169,3847.A0A0R0GGB3,A0A0R0GGB3,A0A0R0GGB3
170,3847.A0A0R0GIH8,A0A0R0GIH8,A0A0R0GIH8
171,3847.A0A0R0GII5,A0A0R0GII5,A0A0R0GII5
172,3847.A0A0R0GIQ0,A0A0R0GIQ0,A0A0R0GIQ0
173,3847.A0A0R0GIQ7,A0A0R0GIQ7,A0A0R0GIQ7
174,3847.A0A0R0GJR1,A0A0R0GJR1,A0A0R0GJR1
175,3847.A0A0R0GJZ8,A0A0R0GJZ8,A0A0R0GJZ8
176,3847.A0A0R0GKL1,A0A0R0GKL1,A0A0R0GKL1
177,3847.A0A0R0GKY5,A0A0R0GKY5,A0A0R0GKY5
178,3847.A0A0R0GL69,A0A0R0GL69,A0A0R0GL69
179,3847.A0A0R0GL93,A0A0R0GL93,A0A0R0GL93
180,3847.A0A0R0GLA3,A0A0R0GLA3,A0A0R0GLA3
181,3847.A0A0R0GLN1,A0A0R0GLN1,A0A0R0GLN1
182,3847.A0A0R0GM27,A0A0R0GM27,A0A0R0GM27
183,3847.A0A0R0GN63,A0A0R0GN63,A0A0R0GN63
184,3847.A0A0R0GPJ5,A0A0R0GPJ5,A0A0R0GPJ5
185,3847.A0A0R0GPT0,A0A0R0GPT0,A0A0R0GPT0
186,3847.A0A0R0GQE4,A0A0R0GQE4,A0A0R0GQE4
187,3847.A0A0R0GQL4,A0A0R0GQL4,A0A0R0GQL4
188,3847.A0A0R0GRE9,A0A0R0GRE9,A0A0R0GRE9
189,3847.A0A0R0GRP9,A0A0R0GRP9,A0A0R0GRP9
190,3847.A0A0R0GT27,A0A0R0GT27,A0A0R0GT27
191,3847.A0A0R0GT44,A0A0R0GT44,A0A0R0GT44
192,3847.A0A0R0GT71,A0A0R0GT71,A0A0R0GT71
193,3847.A0A0R0GTK5,A0A0R0GTK5,A0A0R0GTK5
194,3847.A0A0R0GUC5,A0A0R0GUC5,A0A0R0GUC5
195,3847.A0A0R0GUH4,A0A0R0GUH4,A0A0R0GUH4
196,3847.A0A0R0GUJ1,A0A0R0GUJ1,A0A0R0GUJ1
197,3847.A0A0R0GUM7,A0A0R0GUM7,A0A0R0GUM7
198,3847.A0A0R0GVJ8,A0A0R0GVJ8,A0A0R0GVJ8
199,3847.A0A0R0GW96,A0A0R0GW96,A0A0R0GW96
200,3847.A0A0R0GWD9,A0A0R0GWD9,MYB172
201,3847.A0A0R0GWP4,A0A0R0GWP4,A0A0R0GWP4
202,3847.A0A0R0GWT9,A0A0R0GWT9,A0A0R0GWT9
203,3847.A0A0R0GYD9,A0A0R0GYD9,A0A0R0GYD9
204,3847.A0A0R0GZH6,A0A0R0GZH6,A0A0R0GZH6
205,3847.A0A0R0H043,A0A0R0H043,A0A0R0H043
206,3847.A0A0R0H0V0,A0A0R0H0V0,A0A0R0H0V0
207,3847.A0A0R0H0Y3,A0A0R0H0Y3,A0A0R0H0Y3
208,3847.A0A0R0H0Z6,A0A0R0H0Z6,A0A0R0H0Z6
209,3847.A0A0R0H114,A0A0R0H114,A0A0R0H114
210,3847.A0A0R0H1C7,A0A0R0H1C7,A0A0R0H1C7
211,3847.A0A0R0H2V0,A0A0R0H2V0,A0A0R0H2V0
212,3847.A0A0R0H312,A0A0R0H312,A0A0R0H312
213,3847.A0A0R0H3D7,A0A0R0H3D7,A0A0R0H3D7
214,3847.A0A0R0H3L9,A0A0R0H3L9,A0A0R0H3L9
215,3847.A0A0R0H3Q1,A0A0R0H3Q1,A0A0R0H3Q1
216,3847.A0A0R0H4D6,A0A0R0H4D6,A0A0R0H4D6
217,3847.A0A0R0H567,A0A0R0H567,A0A0R0H567
218,3847.A0A0R0H5Y2,A0A0R0H5Y2,A0A0R0H5Y2
219,3847.A0A0R0H8A8,A0A0R0H8A8,A0A0R0H8A8
220,3847.A0A0R0H8K3,A0A0R0H8K3,A0A0R0H8K3
221,3847.A0A0R0H940,A0A0R0H940,A0A0R0H940
222,3847.A0A0R0H9S2,A0A0R0H9S2,A0A0R0H9S2
223,3847.A0A0R0HAG1,A0A0R0HAG1,A0A0R0HAG1
224,3847.A0A0R0HAI8,A0A0R0HAI8,A0A0R0HAI8
225,3847.A0A0R0HB50,A0A0R0HB50,A0A0R0HB50
226,3847.A0A0R0HB65,A0A0R0HB65,A0A0R0HB65
227,3847.A0A0R0HBN9,A0A0R0HBN9,A0A0R0HBN9
228,3847.A0A0R0HBP3,A0A0R0HBP3,A0A0R0HBP3
229,3847.A0A0R0HC17,A0A0R0HC17,A0A0R0HC17
230,3847.A0A0R0HC62,A0A0R0HC62,A0A0R0HC62
231,3847.A0A0R0HCL7,A0A0R0HCL7,A0A0R0HCL7
232,3847.A0A0R0HCT6,A0A0R0HCT6,A0A0R0HCT6
233,3847.A0A0R0HDU4,A0A0R0HDU4,A0A0R0HDU4
234,3847.A0A0R0HE32,A0A0R0HE32,A0A0R0HE32
235,3847.A0A0R0HE92,A0A0R0HE92,A0A0R0HE92
236,3847.A0A0R0HFC8,A0A0R0HFC8,A0A0R0HFC8
237,3847.A0A0R0HGB6,A0A0R0HGB6,A0A0R0HGB6
238,3847.A0A0R0HGC8,A0A0R0HGC8,A0A0R0HGC8
239,3847.A0A0R0HGH7,A0A0R0HGH7,A0A0R0HGH7
240,3847.A0A0R0HGZ9,A0A0R0HGZ9,A0A0R0HGZ9
241,3847.A0A0R0HHV0,A0A0R0HHV0,A0A0R0HHV0
242,3847.A0A0R0HJ12,A0A0R0HJ12,A0A0R0HJ12
243,3847.A0A0R0HKH4,A0A0R0HKH4,A0A0R0HKH4
244,3847.A0A0R0HKL0,A0A0R0HKL0,A0A0R0HKL0
245,3847.A0A0R0HLC5,A0A0R0HLC5,A0A0R0HLC5
246,3847.A0A0R0HLE4,A0A0R0HLE4,A0A0R0HLE4
247,3847.A0A0R0HMR0,A0A0R0HMR0,A0A0R0HMR0
248,3847.A0A0R0HNB9,A0A0R0HNB9,A0A0R0HNB9
249,3847.A0A0R0HNQ2,A0A0R0HNQ2,A0A0R0HNQ2
250,3847.A0A0R0HNV9,A0A0R0HNV9,A0A0R0HNV9
251,3847.A0A0R0HPZ1,A0A0R0HPZ1,A0A0R0HPZ1
252,3847.A0A0R0HRA6,A0A0R0HRA6,A0A0R0HRA6
253,3847.A0A0R0HRA7,A0A0R0HRA7,A0A0R0HRA7
254,3847.A0A0R0HRC1,A0A0R0HRC1,A0A0R0HRC1
255,3847.A0A0R0HRE2,A0A0R0HRE2,A0A0R0HRE2
256,3847.A0A0R0HRY8,A0A0R0HRY8,A0A0R0HRY8
257,3847.A0A0R0HU75,A0A0R0HU75,A0A0R0HU75
258,3847.A0A0R0HUC9,A0A0R0HUC9,A0A0R0HUC9
259,3847.A0A0R0HUG9,A0A0R0HUG9,A0A0R0HUG9
260,3847.A0A0R0HUI1,A0A0R0HUI1,A0A0R0HUI1
261,3847.A0A0R0HUP3,A0A0R0HUP3,A0A0R0HUP3
262,3847.A0A0R0HUY3,A0A0R0HUY3,A0A0R0HUY3
263,3847.A0A0R0HUZ3,A0A0R0HUZ3,A0A0R0HUZ3
264,3847.A0A0R0HV62,A0A0R0HV62,A0A0R0HV62
265,3847.A0A0R0HVG8,A0A0R0HVG8,A0A0R0HVG8
266,3847.A0A0R0HVT6,A0A0R0HVT6,A0A0R0HVT6
267,3847.A0A0R0HW24,A0A0R0HW24,A0A0R0HW24
268,3847.A0A0R0HWD6,A0A0R0HWD6,A0A0R0HWD6
269,3847.A0A0R0HWN7,A0A0R0HWN7,A0A0R0HWN7
270,3847.A0A0R0HZS1,A0A0R0HZS1,A0A0R0HZS1
271,3847.A0A0R0I065,A0A0R0I065,A0A0R0I065
272,3847.A0A0R0I0I8,A0A0R0I0I8,A0A0R0I0I8
273,3847.A0A0R0I0X9,A0A0R0I0X9,A0A0R0I0X9
274,3847.A0A0R0I0Y8,A0A0R0I0Y8,A0A0R0I0Y8
275,3847.A0A0R0I187,A0A0R0I187,WRKY1
276,3847.A0A0R0I1I9,A0A0R0I1I9,A0A0R0I1I9
277,3847.A0A0R0I318,A0A0R0I318,A0A0R0I318
278,3847.A0A0R0I3M2,A0A0R0I3M2,A0A0R0I3M2
279,3847.A0A0R0I449,A0A0R0I449,A0A0R0I449
280,3847.A0A0R0I498,A0A0R0I498,A0A0R0I498
281,3847.A0A0R0I522,A0A0R0I522,A0A0R0I522
282,3847.A0A0R0I550,A0A0R0I550,A0A0R0I550
283,3847.A0A0R0I5X4,A0A0R0I5X4,A0A0R0I5X4
284,3847.A0A0R0I652,A0A0R0I652,A0A0R0I652
285,3847.A0A0R0I6K5,A0A0R0I6K5,A0A0R0I6K5
286,3847.A0A0R0I7D7,A0A0R0I7D7,A0A0R0I7D7
287,3847.A0A0R0I7I9,A0A0R0I7I9,A0A0R0I7I9
288,3847.A0A0R0I7N3,A0A0R0I7N3,A0A0R0I7N3
289,3847.A0A0R0I9D1,A0A0R0I9D1,A0A0R0I9D1
290,3847.A0A0R0I9H0,A0A0R0I9H0,A0A0R0I9H0
291,3847.A0A0R0IBP3,A0A0R0IBP3,A0A0R0IBP3
292,3847.A0A0R0IC52,A0A0R0IC52,A0A0R0IC52
293,3847.A0A0R0IC73,A0A0R0IC73,A0A0R0IC73
294,3847.A0A0R0IC90,A0A0R0IC90,A0A0R0IC90
295,3847.A0A0R0ICG1,A0A0R0ICG1,A0A0R0ICG1
296,3847.A0A0R0ICN4,A0A0R0ICN4,A0A0R0ICN4
297,3847.A0A0R0ICV3,A0A0R0ICV3,A0A0R0ICV3
298,3847.A0A0R0ICW9,A0A0R0ICW9,A0A0R0ICW9
299,3847.A0A0R0ICZ3,A0A0R0ICZ3,A0A0R0ICZ3
300,3847.A0A0R0IDJ7,A0A0R0IDJ7,A0A0R0IDJ7
301,3847.A0A0R0IDQ2,A0A0R0IDQ2,MYB136
302,3847.A0A0R0IDZ4,A0A0R0IDZ4,A0A0R0IDZ4
303,3847.A0A0R0IEJ6,A0A0R0IEJ6,A0A0R0IEJ6
304,3847.A0A0R0IF48,A0A0R0IF48,A0A0R0IF48
305,3847.A0A0R0IFL7,A0A0R0IFL7,A0A0R0IFL7
306,3847.A0A0R0IH50,A0A0R0IH50,A0A0R0IH50
307,3847.A0A0R0IJ21,A0A0R0IJ21,A0A0R0IJ21
308,3847.A0A0R0IJ64,A0A0R0IJ64,A0A0R0IJ64
309,3847.A0A0R0IJT7,A0A0R0IJT7,A0A0R0IJT7
310,3847.A0A0R0IKI4,A0A0R0IKI4,A0A0R0IKI4
311,3847.A0A0R0IKS3,A0A0R0IKS3,A0A0R0IKS3
312,3847.A0A0R0IKU2,A0A0R0IKU2,A0A0R0IKU2
313,3847.A0A0R0ILM7,A0A0R0ILM7,A0A0R0ILM7
314,3847.A0A0R0ILX6,A0A0R0ILX6,A0A0R0ILX6
315,3847.A0A0R0IM74,A0A0R0IM74,A0A0R0IM74
316,3847.A0A0R0IN34,A0A0R0IN34,A0A0R0IN34
317,3847.A0A0R0INF7,A0A0R0INF7,A0A0R0INF7
318,3847.A0A0R0INI8,A0A0R0INI8,A0A0R0INI8
319,3847.A0A0R0INZ0,A0A0R0INZ0,A0A0R0INZ0
320,3847.A0A0R0IPH3,A0A0R0IPH3,A0A0R0IPH3
321,3847.A0A0R0IQ64,A0A0R0IQ64,A0A0R0IQ64
322,3847.A0A0R0IQG9,A0A0R0IQG9,A0A0R0IQG9
323,3847.A0A0R0IQI4,A0A0R0IQI4,A0A0R0IQI4
324,3847.A0A0R0IQJ4,A0A0R0IQJ4,A0A0R0IQJ4
325,3847.A0A0R0IQQ6,A0A0R0IQQ6,A0A0R0IQQ6
326,3847.A0A0R0IQV5,A0A0R0IQV5,A0A0R0IQV5
327,3847.A0A0R0IRG6,A0A0R0IRG6,A0A0R0IRG6
328,3847.A0A0R0IRY8,A0A0R0IRY8,A0A0R0IRY8
329,3847.A0A0R0IS44,A0A0R0IS44,A0A0R0IS44
330,3847.A0A0R0IT46,A0A0R0IT46,A0A0R0IT46
331,3847.A0A0R0IT59,A0A0R0IT59,A0A0R0IT59
332,3847.A0A0R0ITC3,A0A0R0ITC3,A0A0R0ITC3
333,3847.A0A0R0ITQ2,A0A0R0ITQ2,A0A0R0ITQ2
334,3847.A0A0R0ITU2,A0A0R0ITU2,A0A0R0ITU2
335,3847.A0A0R0IUA0,A0A0R0IUA0,A0A0R0IUA0
336,3847.A0A0R0IUS2,A0A0R0IUS2,A0A0R0IUS2
337,3847.A0A0R0IV54,A0A0R0IV54,A0A0R0IV54
338,3847.A0A0R0IX46,A0A0R0IX46,A0A0R0IX46
339,3847.A0A0R0IXX0,A0A0R0IXX0,A0A0R0IXX0
340,3847.A0A0R0IZ08,A0A0R0IZ08,A0A0R0IZ08
341,3847.A0A0R0IZW0,A0A0R0IZW0,A0A0R0IZW0
342,3847.A0A0R0J0N7,A0A0R0J0N7,A0A0R0J0N7
343,3847.A0A0R0J0N8,A0A0R0J0N8,A0A0R0J0N8
344,3847.A0A0R0J1A2,A0A0R0J1A2,A0A0R0J1A2
345,3847.A0A0R0J1M0,A0A0R0J1M0,A0A0R0J1M0
346,3847.A0A0R0J1M7,A0A0R0J1M7,A0A0R0J1M7
347,3847.A0A0R0J1R5,A0A0R0J1R5,A0A0R0J1R5
348,3847.A0A0R0J1S7,A0A0R0J1S7,A0A0R0J1S7
349,3847.A0A0R0J1V3,A0A0R0J1V3,A0A0R0J1V3
350,3847.A0A0R0J260,A0A0R0J260,A0A0R0J260
351,3847.A0A0R0J286,A0A0R0J286,A0A0R0J286
352,3847.A0A0R0J2A9,A0A0R0J2A9,A0A0R0J2A9
353,3847.A0A0R0J4C3,A0A0R0J4C3,A0A0R0J4C3
354,3847.A0A0R0J4R6,A0A0R0J4R6,A0A0R0J4R6
355,3847.A0A0R0J517,A0A0R0J517,A0A0R0J517
356,3847.A0A0R0J555,A0A0R0J555,STP1
357,3847.A0A0R0J5N8,A0A0R0J5N8,A0A0R0J5N8
358,3847.A0A0R0J5P6,A0A0R0J5P6,A0A0R0J5P6
359,3847.A0A0R0J613,A0A0R0J613,A0A0R0J613
360,3847.A0A0R0J790,A0A0R0J790,A0A0R0J790
361,3847.A0A0R0J7A4,A0A0R0J7A4,A0A0R0J7A4
362,3847.A0A0R0J7C8,A0A0R0J7C8,A0A0R0J7C8
363,3847.A0A0R0J7J6,A0A0R0J7J6,A0A0R0J7J6
364,3847.A0A0R0J7Q5,A0A0R0J7Q5,A0A0R0J7Q5
365,3847.A0A0R0J8A9,A0A0R0J8A9,A0A0R0J8A9
366,3847.A0A0R0J8G6,A0A0R0J8G6,A0A0R0J8G6
367,3847.A0A0R0JAK2,A0A0R0JAK2,A0A0R0JAK2
368,3847.A0A0R0JAM9,A0A0R0JAM9,A0A0R0JAM9
369,3847.A0A0R0JAU2,A0A0R0JAU2,A0A0R0JAU2
370,3847.A0A0R0JBH0,A0A0R0JBH0,A0A0R0JBH0
371,3847.A0A0R0JBH9,A0A0R0JBH9,A0A0R0JBH9
372,3847.A0A0R0JBZ7,A0A0R0JBZ7,A0A0R0JBZ7
373,3847.A0A0R0JCE5,A0A0R0JCE5,A0A0R0JCE5
374,3847.A0A0R0JCR2,A0A0R0JCR2,A0A0R0JCR2
375,3847.A0A0R0JDF0,A0A0R0JDF0,A0A0R0JDF0
376,3847.A0A0R0JE00,A0A0R0JE00,A0A0R0JE00
